20231204	15:58:52	69d89e10-efbe-49f8-9270-c29cbc87864a	DELETE	undefined	/employees
20231204	15:58:57	da0fab24-5bfb-4f0f-9a41-eda4be4d90c1	DELETE	undefined	/employees
20231204	19:03:35	768ad24f-7c52-43ab-9498-dc2ebefaaf3b	GET	undefined	/l
20231204	19:03:35	e4d61791-1bd7-4375-b39e-3cd7d87954c0	GET	undefined	/css/style.css
20231204	19:03:38	079a7976-c037-4a0d-bda1-27a460c4aeb2	GET	undefined	/
20231204	19:03:38	7773fd48-93c5-4877-b8b5-4ade9ef5d3bf	GET	undefined	/css/style.css
20231204	19:06:53	f19b5a44-2c77-4498-8cdc-8dd34c4474ea	POST	undefined	/register
20231204	19:07:07	7540af59-a235-4e49-a433-d6882ab988d9	POST	undefined	/register
20231204	19:07:36	91d59104-075a-4979-90b7-22fc4487c5fa	POST	undefined	/register
20231204	19:08:42	0260cbd1-e16e-41bf-914e-6c0e30e79bed	POST	undefined	/register
20231204	19:09:06	1cca22e2-4025-4997-8afd-6510626f344a	POST	undefined	/register
20231204	19:09:22	d7585278-633e-434f-b200-cb15e5004ebb	POST	undefined	/register
20231204	19:09:38	0d3229d6-e6e9-4077-ae24-7523c8330d7d	POST	undefined	/register
20231204	19:11:42	2ea3b03e-0074-4b21-bfbb-6d50536e8336	POST	undefined	/register
20231204	20:07:06	1e664ec0-fc00-4e0a-9ace-9a204738316d	POST	undefined	/auth
20231204	20:07:49	def43cac-40aa-41df-a1ae-b0e8195c915b	POST	undefined	/auth
20231205	09:27:04	700a73db-6dc8-4c5d-a3b8-98453c9f217a	POST	undefined	/auth
20231205	09:27:37	06dc3567-789a-4025-b668-23d64b870aa5	POST	undefined	/register
20231205	09:28:01	75ebcb06-4c4c-4a8b-bd46-794c4cbb74ab	POST	undefined	/register
20231205	09:28:23	111200f2-9100-4657-9017-aa0720fa68ae	POST	undefined	/auth
20231205	09:50:51	51d2ee47-2243-4530-9d4f-5d869c89e01c	POST	undefined	/auth
20231205	09:53:20	6c1fdf80-d6bd-4b7e-98fc-b5f479ff8c11	POST	undefined	/register
20231205	09:53:40	39c8b37a-c3ea-49a8-8e91-aa3415aaa0f0	POST	undefined	/auth
